,region,level of education,sex,2016,2017,2018,2019,2020
83,10 Blekinge county,post secondary education,women,303.24285714285713,314.25714285714287,321.8285714285715,329.0285714285714,336.14285714285717
84,10 Blekinge county,primary and lower secondary education,men,214.8875,219.8875,224.8125,227.1875,231.225
85,10 Blekinge county,primary and lower secondary education,women,153.1875,155.325,157.5875,158.9,163.425
88,10 Blekinge county,upper secondary education,men,283.7375,294.65,300.875,306.9125,310.25
89,10 Blekinge county,upper secondary education,women,217.6,224.3625,229.25,234.1625,237.95
90,12 Skåne county,no information about level of educational attainment,men,191.5875,197.4625,201.4125,209.05,214.95
91,12 Skåne county,no information about level of educational attainment,women,102.65,105.675,108.725,111.875,114.75
92,12 Skåne county,post secondary education,men,373.3,383.25,393.27500000000003,401.1875,412.825
93,12 Skåne county,post secondary education,women,279.3625,289.3,296.325,303.725,310.9125
94,12 Skåne county,primary and lower secondary education,men,218.3875,221.3625,225.9125,230.475,233.825
95,12 Skåne county,primary and lower secondary education,women,148.6375,150.6,152.3625,154.0625,156.625
98,12 Skåne county,upper secondary education,men,286.225,293.2625,300.625,306.825,311.225
99,12 Skåne county,upper secondary education,women,215.675,220.9875,226.825,232.8125,237.01250000000002
100,13 Halland county,no information about level of educational attainment,men,175.1375,178.7,177.1125,183.2125,179.8375
101,13 Halland county,no information about level of educational attainment,women,98.6,108.5625,121.375,116.9375,110.55
102,13 Halland county,post secondary education,men,439.7857142857143,450.41428571428565,463.7857142857143,473.25714285714287,478.07142857142856
103,13 Halland county,post secondary education,women,314.5285714285714,324.9142857142857,335.7285714285714,343.84285714285716,351.9428571428571
104,13 Halland county,primary and lower secondary education,men,247.35,251.6375,258.4625,263.2125,266.375
105,13 Halland county,primary and lower secondary education,women,165.2875,168.4375,171.1375,173.25,175.65
108,13 Halland county,upper secondary education,men,312.1875,319.825,327.2,333.6875,337.4625
109,13 Halland county,upper secondary education,women,226.67499999999998,233.275,239.5,244.55,248.125
110,14 Västra Götaland county,no information about level of educational attainment,men,200.9625,205.32500000000002,203.9625,211.01250000000002,209.27499999999998
111,14 Västra Götaland county,no information about level of educational attainment,women,97.875,94.10000000000001,98.55,103.975,103.9875
112,14 Västra Götaland county,post secondary education,men,383.6625,391.1375,405.11249999999995,411.8375,415.4875
113,14 Västra Götaland county,post secondary education,women,289.475,299.3375,306.125,314.0625,319.0375
114,14 Västra Götaland county,primary and lower secondary education,men,231.1875,237.1625,243.65,248.1375,249.07500000000002
115,14 Västra Götaland county,primary and lower secondary education,women,159.8375,163.1375,166.35,168.925,169.7375
118,14 Västra Götaland county,upper secondary education,men,301.725,310.1125,318.9,324.8375,325.15
119,14 Västra Götaland county,upper secondary education,women,227.2875,234.46249999999998,240.875,245.65,247.5
120,17 Värmland county,no information about level of educational attainment,men,195.675,183.9875,185.1625,199.6625,180.875
121,17 Värmland county,no information about level of educational attainment,women,125.325,114.7625,117.725,131.6,116.1125
122,17 Värmland county,post secondary education,men,395.2142857142857,403.3285714285715,414.2857142857143,425.1857142857143,428.17142857142863
123,17 Värmland county,post secondary education,women,305.7857142857143,315.24285714285713,324.0,332.14285714285717,337.4857142857143
124,17 Värmland county,primary and lower secondary education,men,224.1125,227.7625,234.23749999999998,238.5875,236.125
125,17 Värmland county,primary and lower secondary education,women,153.0625,154.1375,157.1375,159.1375,159.2625
128,17 Värmland county,upper secondary education,men,288.5,298.65,307.075,313.1625,311.175
129,17 Värmland county,upper secondary education,women,217.35,223.4375,228.9875,233.9875,235.3875
130,18 Örebro county,no information about level of educational attainment,men,141.125,140.4125,139.425,151.9125,148.375
131,18 Örebro county,no information about level of educational attainment,women,70.3375,70.3375,69.6625,81.675,81.425
132,18 Örebro county,post secondary education,men,398.54285714285714,408.07142857142856,419.85714285714283,427.37142857142857,434.9142857142857
133,18 Örebro county,post secondary education,women,311.5571428571429,320.7857142857143,327.65714285714284,335.8142857142857,342.14285714285717
134,18 Örebro county,primary and lower secondary education,men,215.175,220.775,225.6375,228.7875,230.1125
135,18 Örebro county,primary and lower secondary education,women,151.6625,153.0,155.8,156.825,157.575
138,18 Örebro county,upper secondary education,men,290.7125,299.925,307.6375,312.675,313.9625
139,18 Örebro county,upper secondary education,women,219.2375,225.7375,231.275,235.55,238.15
140,19 Västmanland county,no information about level of educational attainment,men,154.3375,151.4,135.0875,159.20000000000002,169.775
141,19 Västmanland county,no information about level of educational attainment,women,76.75,72.6125,77.175,82.45,83.8875
142,19 Västmanland county,post secondary education,men,430.5857142857143,440.14285714285717,453.04285714285714,459.0571428571429,463.7285714285714
143,19 Västmanland county,post secondary education,women,317.87142857142857,327.4428571428571,335.6857142857143,342.8285714285715,349.64285714285717
144,19 Västmanland county,primary and lower secondary education,men,219.725,224.3625,229.575,233.9375,236.39999999999998
145,19 Västmanland county,primary and lower secondary education,women,148.1875,149.4625,151.775,153.4125,153.2
148,19 Västmanland county,upper secondary education,men,295.75,305.5625,312.075,318.325,319.4125
149,19 Västmanland county,upper secondary education,women,219.7875,226.7875,231.7625,236.0625,239.4125
150,20 Dalarna county,no information about level of educational attainment,men,146.8125,137.425,138.025,148.275,156.0875
151,20 Dalarna county,no information about level of educational attainment,women,71.8625,65.7375,72.525,74.975,73.4625
152,20 Dalarna county,post secondary education,men,397.1857142857143,407.11428571428576,416.62857142857143,426.35714285714283,431.4714285714286
153,20 Dalarna county,post secondary education,women,308.38571428571424,317.2857142857143,325.1714285714285,334.4428571428571,340.88571428571424
154,20 Dalarna county,primary and lower secondary education,men,221.9875,226.825,233.85,240.03750000000002,241.89999999999998
155,20 Dalarna county,primary and lower secondary education,women,154.4,156.375,159.325,161.675,161.9625
158,20 Dalarna county,upper secondary education,men,288.975,297.025,304.8875,311.225,312.975
159,20 Dalarna county,upper secondary education,women,220.8875,226.70000000000002,231.9625,237.225,240.8125
160,21 Gävleborg county,no information about level of educational attainment,men,119.325,121.0625,118.45,134.2625,141.55
161,21 Gävleborg county,no information about level of educational attainment,women,67.2125,61.762499999999996,64.3875,70.4,76.0375
162,21 Gävleborg county,post secondary education,men,393.7285714285714,406.3,414.0857142857143,424.7,428.38571428571424
163,21 Gävleborg county,post secondary education,women,309.2857142857143,321.4142857142857,327.74285714285713,335.62857142857143,340.87142857142857
164,21 Gävleborg county,primary and lower secondary education,men,219.875,224.725,232.625,236.4625,239.6125
165,21 Gävleborg county,primary and lower secondary education,women,149.8875,152.5375,154.35,155.4875,159.1375
168,21 Gävleborg county,upper secondary education,men,287.275,295.65,304.53749999999997,309.8625,311.625
169,21 Gävleborg county,upper secondary education,women,216.9,221.8375,228.3,232.65,235.95
170,22 Västernorrland county,no information about level of educational attainment,men,140.35,129.15,133.9875,133.9375,138.7
171,22 Västernorrland county,no information about level of educational attainment,women,76.625,76.05,70.325,75.7,76.8
172,22 Västernorrland county,post secondary education,men,403.92857142857144,410.92857142857144,421.5142857142857,431.0,436.5
173,22 Västernorrland county,post secondary education,women,316.57142857142856,325.57142857142856,333.6857142857143,341.6714285714285,346.4428571428571
174,22 Västernorrland county,primary and lower secondary education,men,221.0875,225.075,231.7,236.7875,240.75
175,22 Västernorrland county,primary and lower secondary education,women,156.9625,159.4,161.3,162.0375,165.65
178,22 Västernorrland county,upper secondary education,men,290.825,296.40000000000003,305.6875,310.6625,314.1375
179,22 Västernorrland county,upper secondary education,women,223.275,229.0625,234.8625,239.15,242.7875
180,23 Jämtland county,no information about level of educational attainment,men,149.6375,147.025,140.9125,148.6625,144.625
181,23 Jämtland county,no information about level of educational attainment,women,100.9,96.375,96.0125,102.875,94.75
182,23 Jämtland county,post secondary education,men,370.7714285714286,380.4142857142857,390.3,397.87142857142857,405.84285714285716
183,23 Jämtland county,post secondary education,women,309.84285714285716,318.38571428571424,326.3,333.3285714285715,338.75714285714287
184,23 Jämtland county,primary and lower secondary education,men,212.5125,217.525,225.0875,230.4,232.45
185,23 Jämtland county,primary and lower secondary education,women,157.175,160.6625,165.225,167.95,169.5125
188,23 Jämtland county,upper secondary education,men,271.1,280.075,289.15,295.0625,297.2
189,23 Jämtland county,upper secondary education,women,219.475,226.6,231.9625,236.8875,239.4625
190,24 Västerbotten county,no information about level of educational attainment,men,138.8125,126.36250000000001,128.525,137.825,140.7625
191,24 Västerbotten county,no information about level of educational attainment,women,96.675,87.225,81.275,88.225,88.775
192,24 Västerbotten county,post secondary education,men,384.4714285714286,393.59999999999997,401.87142857142857,410.90000000000003,417.9142857142857
193,24 Västerbotten county,post secondary education,women,305.2714285714286,314.7142857142857,322.90000000000003,328.74285714285713,334.64285714285717
